Type,ID's,English,Russian
Location,460000,Seaside Arena,Прибрежная арена
Location,460100,Forgotten Colosseum,Забытый колезей
Location,460200,Observatory,Обсерватория
Location,460300,Dueling Square,Дуэльная площадь
Location,460400,Snowy Outpost,Заснеженный аванпост
Location,460500,Crumbling Island,Разрушающийся остров
Location,460600,Crystal Lake,Кристальное озеро
Location,460700,Eternal City Courtyard,Площадь Вечного города
Location,460800,Forest Ruins,Лесные руины
Location,460900,Grand Library,Великая библиотека
Location,470000,Seaside Arena (2v2),Прибрежная арена (2v2)
Location,470100,Lava Bridge (2v2),Магмовый мост (2v2)
Location,470200,Observatory (2v2),Обсерватория (2v2)
Location,470300,Dueling Square (2v2),Дуэльная площадь (2v2)
Location,470400,Snowy Outpost (2v2),Заснеженный аванпост (2v2)
Location,470500,Crumbling Island (2v2),Разрушающийся остров (2v2)
Location,470600,Crystal Lake (2v2),Кристальное озеро (2v2)
Location,470700,Eternal City Courtyard (2v2),Площадь Вечного города (2v2)
Location,470800,Forest Ruins (2v2),Лесные руины (2v2)
Location,470900,Grand Library (2v2),Великая библиотека (2v2)
Location,471000,Forgotten Colosseum (2v2),Забытый колезей (2v2)
Goods Name,4600000,Braid of Marika,Коса Марики
Goods Info,4600000,"Revives on death, fully restores character","Возрождает после смерти, полностью восстанавливает персонажа"
Goods Description,4600000,"Item for online duelist play. Enchanted by incantations of the Golden Order Fundamentalists. Used to bring back a duelist from the brink of death upon their defeat, and restore them to their natural state. 
On death, fully heals HP, FP, restores poise, removes all ailments and dispels all special effects.","Предмет для дуэли по сети. Зачарован заклинаниями фундаменталистов Золотого Порядка. Используется, чтобы возродить дуэлянтов при смерти после поражения и вернуть их к исходному состоянию. 
После смерти полностью восстанавливает ОЗ, ОК, баланс, излечивает все недуги и устраняет особые эффекты."
Goods Name,4600100,Regressive Grease,Регрессивная смазка
Goods Info,4600100,Fully restores character,Полностью восстанавливает персонажа
Goods Description,4600100,"Item for online duelist play. Enchanted by incantations of the Golden Order Fundamentalists. Used to quickly restore duelists to their natural state before a battle. Fully heals HP, FP, restores poise, removes all ailments and dispels all special effects.","Предмет для дуэли по сети. Зачарован заклинаниями фундаменталистов Золотого Порядка. Используется для быстрого восстановления дуэлянтов к их исходному состоянию до боя. 
Полностью восстанавливает ОЗ, ОК, баланс, излечивает все недуги и устраняет особые эффекты."
Goods Name,4600200,O'Jar of Plenty,Кувшин изобилия
Goods Info,4600200,Grants an infinite supply of any currently held good,Даёт неограниченное количество имеющихся в наличии расходных предметов
Goods Description,4600200,Item for online duelist play. Used to store and retain an infinite supply of goods. Any items used will retain their current quantity. A peculiar bottomless jar. Its origins are unknown. Some deride it as a symbol of unbridled avarice.,"Предмет для дуэли по сети. Используется для получения неограниченного количества расходных предметов. Любой используемый предмет будет сохранять своё текущее количество. 
Странный бездонный кувшин, его происхождение неизвестно. Некоторые высмеивают его как символ необузданной алчности."
Menu Text,469900,DEN Maps,DEN карты
Menu Text,479900,DEN 2v2 Maps,DEN карты 2v2
ActionButtonText,90010,Fire starting arrow,Огненная сигнальная стрела
ActionButtonText,90011,Warp to starting location,Перемещение в стартовую локацию
??,??,Begin 2v2 Match,Начать матч 2v2
??,??,Time Remaining,Осталось времени
??,??,Blue Team Wins,Голубая команда победила
??,??,Red Team Wins,Красная команда победила
EventTextForMap,470000,30 seconds remaining,осталось 30 секунд
